ID,Technologies Used
1,"C#, Flask, Kubernetes, Elasticsearch, GraphQL, PHP"
2,"Go, Docker, Rust, AWS, Solidity"
3,"Spring, Scala, Swift, Kotlin, Node.js"
4,"HTML, Redis, Flask"
5,"Angular, Azure, HTML, C#, PostgreSQL, Go"
6,"Swift, Ruby on Rails, TypeScript"
7,"PyTorch, PHP, Express, .NET"
8,"Azure, Rust, TypeScript, PHP"
9,"Spring, GraphQL, PostgreSQL"
10,"Blockchain, Objective-C, PyTorch"
11,"MySQL, PyTorch, CSS"
12,"Kotlin, Java, PostgreSQL, Flask, Elasticsearch, GraphQL"
13,"Redis, Scala, Kotlin, PostgreSQL, Node.js, MongoDB"
14,"C#, Django, GraphQL, Azure, Angular, Kotlin"
15,"Angular, Hibernate, Ruby on Rails, Express"
16,"JavaScript, Java, Django, Rust, PostgreSQL, Docker"
17,"MySQL, PyTorch, Spring"
18,"Swift, Express, GraphQL, MySQL, Java, React"
19,"MongoDB, Vue, PostgreSQL, Kotlin, MySQL, PHP"
20,"GraphQL, AWS, Scala, Kubernetes"
21,"Express, Blockchain, TypeScript, HTML, Docker, Elasticsearch"
22,"Angular, Vue, Hibernate, Spring, Kubernetes, JavaScript"
23,"GraphQL, TypeScript, Kotlin, Vue"
24,"Docker, Django, Flask, Angular, Laravel"
25,"Docker, Ruby on Rails, Django, CSS, MongoDB"
26,"PostgreSQL, AWS, Solidity, C#, Flask"
27,"HTML, Blockchain, Rust, .NET, Angular, Swift"
28,"React, Redis, C#, TensorFlow, Go, JavaScript"
29,"Redis, .NET, Scala, Vue, TensorFlow"
30,"MongoDB, CSS, Swift, Flask"
31,"PyTorch, Scala, Hibernate, TypeScript"
32,"Rust, Redis, Laravel, Azure, Kubernetes, Ruby on Rails"
33,"Scala, Kubernetes, Solidity"
34,"Solidity, TypeScript, PyTorch, Azure, Blockchain, Elasticsearch"
35,"Solidity, Azure, TensorFlow, Laravel"
36,"GraphQL, HTML, Rust, C#, Azure, .NET"
37,"MySQL, Laravel, Python, Redis, Ruby on Rails"
38,"Ruby on Rails, Kotlin, CSS, Azure, MySQL"
39,"Angular, Scala, PostgreSQL"
40,"Hibernate, Docker, C#, Objective-C, Vue, PostgreSQL"
41,"MongoDB, Azure, TensorFlow, Vue"
42,"Redis, Elasticsearch, Solidity, PostgreSQL, AWS, Rust"
43,"Kotlin, TypeScript, Node.js, Django, Ruby on Rails"
44,"Python, Java, AWS, Rust, Blockchain, PyTorch"
45,"JavaScript, Flask, AWS, Java, Blockchain"
46,"GraphQL, MongoDB, HTML"
47,"PostgreSQL, Python, Blockchain, JavaScript, Express, Flask"
48,"Redis, Hibernate, Node.js, JavaScript"
49,"Scala, HTML, Elasticsearch, Ruby on Rails, Blockchain, C#"
50,"MongoDB, Angular, TypeScript, Blockchain, Objective-C, Express"
51,"Kubernetes, Angular, Python, Swift"
52,"Redis, Flask, Node.js, Kubernetes, Blockchain, Objective-C"
53,"TypeScript, Blockchain, Kubernetes, Ruby on Rails, Azure, Python"
54,"Scala, Spring, TensorFlow, PyTorch"
55,"Kubernetes, TypeScript, MySQL, Java, Kotlin"
56,"Java, TypeScript, Laravel"
57,"Azure, Docker, Solidity, Flask, Django"
58,"Blockchain, Node.js, Docker, Hibernate, MySQL"
59,"TypeScript, HTML, Azure, TensorFlow"
60,"Hibernate, Django, JavaScript, PyTorch"
61,"JavaScript, GraphQL, Kotlin"
62,"GraphQL, Scala, Blockchain, TensorFlow, Flask"
63,"Elasticsearch, Django, Java, Solidity, Angular"
64,"Java, Blockchain, Swift, Python"
65,"PHP, PyTorch, Kotlin, Elasticsearch, Go, Hibernate"
66,"TensorFlow, MySQL, Elasticsearch, Laravel, C#, Kubernetes"
67,"Hibernate, Rust, Swift, Kubernetes"
68,"Solidity, C#, MongoDB, Flask, Python, Elasticsearch"
69,"TypeScript, HTML, Swift"
70,"Objective-C, Rust, TensorFlow, Swift, Azure"
71,"Node.js, TypeScript, Docker"
72,"Node.js, Elasticsearch, Docker, AWS, MongoDB, Spring"
73,"Objective-C, Hibernate, Go, HTML, AWS, Kubernetes"
74,"Azure, Redis, Blockchain, .NET"
75,"Rust, PHP, AWS, Objective-C, Azure, TensorFlow"
76,"Flask, TypeScript, Node.js, HTML, Blockchain"
77,"PyTorch, Ruby on Rails, Blockchain, PHP, Flask, Kotlin"
78,"Java, Kotlin, Kubernetes, PHP, JavaScript"
79,"PyTorch, Java, TypeScript, GraphQL, Vue, Hibernate"
80,"Spring, TensorFlow, Scala, Go, Ruby on Rails, MongoDB"
81,"PyTorch, Spring, Express, TensorFlow, Flask, AWS"
82,"Azure, Objective-C, GraphQL"
83,"Express, Objective-C, MongoDB"
84,"Django, Flask, Swift, Solidity, TensorFlow"
85,"React, C#, Express, Python, Vue"
86,"Django, JavaScript, React"
87,"React, Angular, Hibernate, Vue, TypeScript, MongoDB"
88,"Swift, MySQL, Laravel, Scala, Go"
89,"AWS, GraphQL, Spring, PHP"
90,"React, AWS, .NET"
91,"Elasticsearch, MySQL, Java, Rust"
92,"React, Kubernetes, JavaScript"
93,"Flask, Blockchain, Solidity"
94,"C#, Django, PHP, PostgreSQL"
95,"Java, Express, Hibernate"
96,".NET, Azure, Django, MySQL"
97,"PostgreSQL, .NET, Kotlin"
98,"Django, .NET, Kubernetes, GraphQL"
99,"GraphQL, MongoDB, Java, PyTorch, Swift"
100,"Objective-C, TensorFlow, Angular"
